Reporter_Countries,Startlon,Startlat,Reporter_Continent,Reporter_Region,Partner_Countries,Arrlon,Arrlat,Partner_Continent,Unit,Export_Value_corrected
Ireland,-8.243889999999999,53.41291,Europe,EU,South Africa,22.937506,-30.559482,Africa,1000 US$,1.37
Ireland,-8.243889999999999,53.41291,Europe,EU,Singapore,103.819836,1.352083,Asia,1000 US$,383.61699999999996
Ireland,-8.243889999999999,53.41291,Europe,EU,Saudi Arabia,45.079162,23.885942,Asia,1000 US$,575.52
Ireland,-8.243889999999999,53.41291,Europe,EU,Lebanon,35.862285,33.854721000000005,Asia,1000 US$,64.65899999999999
Ireland,-8.243889999999999,53.41291,Europe,EU,Iraq,43.679291,33.223191,Asia,1000 US$,62.8
Ireland,-8.243889999999999,53.41291,Europe,EU,Iran,53.68804599999999,32.427908,Asia,1000 US$,178.98
Ireland,-8.243889999999999,53.41291,Europe,EU,China_Taiwan Province of,120.96051499999999,23.69781,Asia,1000 US$,92.95
Ireland,-8.243889999999999,53.41291,Europe,EU,China_Hong Kong SAR,114.10949699999999,22.396428,Asia,1000 US$,93.16
Ireland,-8.243889999999999,53.41291,Europe,EU,Argentina,-63.616671999999994,-38.416097,South America,1000 US$,283.56
Ireland,-8.243889999999999,53.41291,Europe,EU,Kenya,37.906193,-0.023559,Africa,1000 US$,1064.464
Italy,12.56738,41.87194,Europe,EU,Paraguay,-58.44383199999999,-23.442503,South America,1000 US$,203.6
Italy,12.56738,41.87194,Europe,EU,Peru,-75.015152,-9.189967,South America,1000 US$,41.8
Italy,12.56738,41.87194,Europe,EU,Saudi Arabia,45.079162,23.885942,Asia,1000 US$,1136.09
Italy,12.56738,41.87194,Europe,EU,Senegal,-14.452361999999999,14.497401000000002,Africa,1000 US$,471.15
Italy,12.56738,41.87194,Europe,EU,Singapore,103.819836,1.352083,Asia,1000 US$,20.8
Italy,12.56738,41.87194,Europe,EU,Turkey,35.243322,38.963745,Asia,1000 US$,6098.03
Italy,12.56738,41.87194,Europe,EU,Thailand,100.992541,15.870032,Asia,1000 US$,439.13
Italy,12.56738,41.87194,Europe,EU,Uganda,32.290275,1.373333,Africa,1000 US$,200.56
Italy,12.56738,41.87194,Europe,EU,United States of America,-95.712891,37.09024,North America,1000 US$,42.87
Italy,12.56738,41.87194,Europe,EU,Morocco,-7.09262,31.791702,Africa,1000 US$,410.3
Italy,12.56738,41.87194,Europe,EU,South Korea,127.766922,35.907757000000004,Asia,1000 US$,1.79
Italy,12.56738,41.87194,Europe,EU,Mexico,-102.552784,23.634501,North America,1000 US$,133.4
Italy,12.56738,41.87194,Europe,EU,Ivory Coast,-5.54708,7.539989,Africa,1000 US$,73.06
Italy,12.56738,41.87194,Europe,EU,Lebanon,35.862285,33.854721000000005,Asia,1000 US$,2222.515
Italy,12.56738,41.87194,Europe,EU,Argentina,-63.616671999999994,-38.416097,South America,1000 US$,783.581
Italy,12.56738,41.87194,Europe,EU,Bangladesh,90.35633100000001,23.684994,Asia,1000 US$,8.95
Italy,12.56738,41.87194,Europe,EU,Brazil,-51.92528,-14.235004,South America,1000 US$,47.25
Italy,12.56738,41.87194,Europe,EU,Canada,-106.34677099999999,56.130366,North America,1000 US$,58.9
Italy,12.56738,41.87194,Europe,EU,China_Hong Kong SAR,114.10949699999999,22.396428,Asia,1000 US$,127.3
Italy,12.56738,41.87194,Europe,EU,Australia,133.775136,-25.274398,Oceania,1000 US$,8.76
Italy,12.56738,41.87194,Europe,EU,Iran,53.68804599999999,32.427908,Asia,1000 US$,10150.34
Italy,12.56738,41.87194,Europe,EU,Iraq,43.679291,33.223191,Asia,1000 US$,252.1
Italy,12.56738,41.87194,Europe,EU,Mauritius,57.552152,-20.348404000000002,Africa,1000 US$,15.96
Italy,12.56738,41.87194,Europe,EU,Kenya,37.906193,-0.023559,Africa,1000 US$,13.24
Italy,12.56738,41.87194,Europe,EU,Congo,15.827658999999999,-0.228021,Africa,1000 US$,118.06
Luxembourg,6.129583,49.815273,Europe,EU,Lebanon,35.862285,33.854721000000005,Asia,1000 US$,1.03
Luxembourg,6.129583,49.815273,Europe,EU,Vietnam,108.277199,14.058323999999999,Asia,1000 US$,11.33
Netherlands,5.291266,52.132633,Europe,EU,Senegal,-14.452361999999999,14.497401000000002,Africa,1000 US$,4163.02
Netherlands,5.291266,52.132633,Europe,EU,Morocco,-7.09262,31.791702,Africa,1000 US$,63172.634000000005
Netherlands,5.291266,52.132633,Europe,EU,Mozambique,35.529562,-18.665695,Africa,1000 US$,266.74
Netherlands,5.291266,52.132633,Europe,EU,Paraguay,-58.44383199999999,-23.442503,South America,1000 US$,1514.4679999999998
Netherlands,5.291266,52.132633,Europe,EU,Peru,-75.015152,-9.189967,South America,1000 US$,10053.46
Netherlands,5.291266,52.132633,Europe,EU,Saudi Arabia,45.079162,23.885942,Asia,1000 US$,274624.537
Netherlands,5.291266,52.132633,Europe,EU,Singapore,103.819836,1.352083,Asia,1000 US$,2304.136
Netherlands,5.291266,52.132633,Europe,EU,Uruguay,-55.765834999999996,-32.522779,South America,1000 US$,383.022
Netherlands,5.291266,52.132633,Europe,EU,South Korea,127.766922,35.907757000000004,Asia,1000 US$,19564.953999999998
Netherlands,5.291266,52.132633,Europe,EU,Suriname,-56.02778299999999,3.9193050000000005,South America,1000 US$,1623.182
Netherlands,5.291266,52.132633,Europe,EU,Thailand,100.992541,15.870032,Asia,1000 US$,73157.22099999999
Netherlands,5.291266,52.132633,Europe,EU,Turkey,35.243322,38.963745,Asia,1000 US$,80448.62700000001
Netherlands,5.291266,52.132633,Europe,EU,United States of America,-95.712891,37.09024,North America,1000 US$,901.1389999999999
Netherlands,5.291266,52.132633,Europe,EU,Mexico,-102.552784,23.634501,North America,1000 US$,39255.83
Netherlands,5.291266,52.132633,Europe,EU,Vietnam,108.277199,14.058323999999999,Asia,1000 US$,1303.72
Netherlands,5.291266,52.132633,Europe,EU,South Africa,22.937506,-30.559482,Africa,1000 US$,17866.592
Netherlands,5.291266,52.132633,Europe,EU,Mauritius,57.552152,-20.348404000000002,Africa,1000 US$,7728.62
Netherlands,5.291266,52.132633,Europe,EU,Uganda,32.290275,1.373333,Africa,1000 US$,26957.912999999997
Netherlands,5.291266,52.132633,Europe,EU,Lebanon,35.862285,33.854721000000005,Asia,1000 US$,40741.513
Netherlands,5.291266,52.132633,Europe,EU,Malawi,34.301525,-13.254307999999998,Africa,1000 US$,874.25
Netherlands,5.291266,52.132633,Europe,EU,Argentina,-63.616671999999994,-38.416097,South America,1000 US$,8073.165
Netherlands,5.291266,52.132633,Europe,EU,Australia,133.775136,-25.274398,Oceania,1000 US$,87.5
Netherlands,5.291266,52.132633,Europe,EU,Bangladesh,90.35633100000001,23.684994,Asia,1000 US$,32162.766
Netherlands,5.291266,52.132633,Europe,EU,Brazil,-51.92528,-14.235004,South America,1000 US$,48417.681
